datetime,open,high,low,close,volume
2022-02-24,84.53,95.27,75.25,89.35,29679152.0
2022-02-25,89.34,95.0,86.8,92.69,14249813.0
2022-02-26,92.69,95.15,89.12,90.21,7951389.0
2022-02-27,90.21,92.42,84.0,85.58,9791044.0
2022-02-28,85.57,102.89,84.1,99.62,16640184.0
2022-03-01,99.62,102.02,94.14,98.61,13421455.0
2022-03-02,98.61,106.43,96.68,100.69,15156169.0
2022-03-03,100.68,101.71,93.99,95.58,9515942.0
2022-03-04,95.57,95.91,86.87,88.26,10531964.0
2022-03-05,88.27,91.2,85.82,89.59,5581271.0
2022-03-06,89.58,89.93,84.02,84.53,6179199.0
2022-03-07,84.53,86.68,79.77,81.62,10221834.0
2022-03-08,81.61,85.06,81.23,82.25,9063016.0
2022-03-09,82.25,89.92,81.87,88.04,10676883.0
2022-03-10,88.05,88.58,80.56,82.81,9014111.0
2022-03-11,82.82,84.33,80.0,80.64,8563858.0
2022-03-12,80.64,82.71,80.51,81.38,4052394.0
2022-03-13,81.37,83.36,77.54,78.69,6611188.0
2022-03-14,78.68,82.27,77.93,81.2,7688576.0
2022-03-15,81.18,86.0,78.7,82.83,8055738.0
2022-03-16,82.83,87.97,81.47,87.73,10365638.0
2022-03-17,87.73,91.04,86.54,87.83,8455717.0
2022-03-18,87.83,92.31,84.35,89.77,9735754.0
2022-03-19,89.77,94.59,89.25,92.31,8081727.0
2022-03-20,92.32,92.57,87.77,88.58,5885870.0
2022-03-21,88.58,91.23,86.62,88.55,6892088.0
2022-03-22,88.55,93.95,87.9,90.44,8424636.0
2022-03-23,90.44,96.35,89.12,94.83,9602339.0
2022-03-24,94.83,103.73,93.35,102.33,16825792.0
2022-03-25,102.32,104.9,97.06,98.55,12559624.0
2022-03-26,98.55,103.4,97.56,101.68,7816675.0
2022-03-27,101.68,107.44,98.68,106.94,8450934.0
2022-03-28,106.94,113.9,105.14,105.73,14660240.0
2022-03-29,105.73,115.67,105.43,111.56,14281594.0
2022-03-30,111.56,125.38,107.05,120.85,17470065.0
2022-03-31,120.86,129.66,119.96,122.85,18324290.0
2022-04-01,122.85,138.44,117.45,134.53,18008176.0
2022-04-02,134.53,143.57,131.31,132.48,13621808.0
2022-04-03,132.47,141.21,130.5,136.85,10552980.0
2022-04-04,136.87,138.39,125.69,132.09,11182063.0
2022-04-05,132.11,136.68,126.0,126.84,9678943.0
2022-04-06,126.84,127.37,112.02,112.87,17201228.0
2022-04-07,112.86,119.95,110.78,118.41,11490698.0
2022-04-08,118.41,122.34,108.01,109.83,13211686.0
