datetime,open,high,low,close,volume
2024-07-23,31.859,32.635,29.413,29.797,12124163.0
2024-07-24,29.795,30.535,28.242,28.356,13378758.0
2024-07-25,28.357,28.576,26.223,27.222,12163212.0
2024-07-26,27.222,28.834,27.158,28.693,8128800.0
2024-07-27,28.694,29.5,27.555,28.033,8146741.0
2024-07-28,28.032,28.157,27.048,27.377,5137358.0
2024-07-29,27.376,28.838,26.892,26.978,9434132.0
2024-07-30,26.977,27.294,26.002,26.303,7448375.0
2024-07-31,26.303,26.853,25.408,25.69,8049798.0
2024-08-01,25.691,25.921,23.982,25.688,9627764.0
2024-08-02,25.687,25.888,23.333,23.585,10189447.0
2024-08-03,23.584,24.1,22.167,22.656,9257681.0
2024-08-04,22.656,22.944,20.566,21.246,9860835.0
2024-08-05,21.246,21.372,17.252,19.527,39745016.0
2024-08-06,19.527,21.435,19.498,20.875,11528530.0
2024-08-07,20.875,21.677,19.681,19.842,10171756.0
2024-08-08,19.842,22.782,19.508,22.724,10324640.0
2024-08-09,22.724,22.788,21.265,21.735,7176712.0
2024-08-10,21.734,22.042,21.384,21.564,3512050.0
2024-08-11,21.564,22.374,20.358,20.386,7019613.0
2024-08-12,20.386,21.707,20.276,21.247,8725600.0
2024-08-13,21.246,21.612,20.578,21.367,6078765.0
2024-08-14,21.367,21.857,20.741,20.944,6472938.0
2024-08-15,20.943,21.139,19.8,20.108,9596324.0
2024-08-16,20.108,20.665,19.755,20.359,7280337.0
2024-08-17,20.359,20.694,20.215,20.688,3043394.0
2024-08-18,20.688,21.508,20.524,20.803,5557312.0
2024-08-19,20.804,21.233,20.364,21.196,6230242.0
2024-08-20,21.195,22.777,21.145,22.247,9703031.0
2024-08-21,22.246,23.785,22.228,23.518,11119387.0
2024-08-22,23.519,25.293,23.026,25.196,12101027.0
2024-08-23,25.197,27.011,25.189,26.483,17253432.0
2024-08-24,26.483,27.985,26.173,27.101,10116532.0
2024-08-25,27.098,27.663,26.118,26.898,8196217.0
2024-08-26,26.898,27.175,25.876,25.929,8747848.0
2024-08-27,25.928,26.793,23.652,24.067,10754158.0
2024-08-28,24.067,24.82,23.17,23.432,10562316.0
2024-08-29,23.43,24.664,22.763,22.879,8088271.0
2024-08-30,22.879,23.623,22.172,23.274,8089275.0
2024-08-31,23.275,23.389,22.454,22.786,3490416.0
2024-09-01,22.787,22.821,21.105,21.397,8770962.0
2024-09-02,21.396,22.561,21.349,22.351,6852574.0
2024-09-03,22.351,22.713,21.33,21.374,6539087.0
2024-09-04,21.373,22.301,20.449,21.893,8535225.0
2024-09-05,21.893,22.165,21.206,21.356,6822999.0
2024-09-06,21.356,22.183,20.455,21.143,12371388.0
2024-09-07,21.144,21.997,21.042,21.784,4641912.0
2024-09-08,21.784,23.492,21.703,23.231,9837145.0
2024-09-09,23.23,24.42,23.116,23.829,10764799.0
2024-09-10,23.829,24.609,23.552,24.336,7172084.0
2024-09-11,24.336,24.508,22.861,23.264,8665147.0
2024-09-12,23.261,24.101,23.25,24.005,7113069.0
2024-09-13,24.005,25.086,23.652,24.898,8468311.0
2024-09-14,24.897,25.65,24.604,25.317,5613070.0
2024-09-15,25.32,25.372,23.619,23.779,7038527.0
2024-09-16,23.779,24.219,23.204,23.496,7439929.0
2024-09-17,23.496,24.482,23.136,23.762,7011091.0
2024-09-18,23.762,24.726,22.756,24.697,8167908.0
2024-09-19,24.697,26.786,24.695,26.651,12050805.0
2024-09-20,26.651,28.816,26.451,27.655,13478453.0
2024-09-21,27.654,28.117,26.983,27.764,5713957.0
2024-09-22,27.765,27.782,26.422,27.287,6075989.0
2024-09-23,27.287,28.158,26.54,27.379,7924496.0
2024-09-24,27.379,28.549,26.822,28.462,7854948.0
2024-09-25,28.462,28.493,27.13,27.27,7262067.0
2024-09-26,27.272,29.425,26.946,29.155,9104785.0
2024-09-27,29.153,30.847,28.92,30.424,7890953.0
2024-09-28,30.425,30.744,29.019,29.277,5160683.0
2024-09-29,29.277,29.457,28.226,29.02,5795526.0
2024-09-30,29.022,29.104,27.533,27.698,8207137.0
2024-10-01,27.697,28.87,25.004,25.801,13297723.0
2024-10-02,25.8,26.766,25.006,25.317,9176112.0
2024-10-03,25.316,25.651,23.866,24.633,10203961.0
2024-10-04,24.63,26.472,24.411,26.248,6860173.0
2024-10-05,26.249,26.43,25.08,25.65,4149968.0
2024-10-06,25.65,27.067,25.479,26.916,5400366.0
2024-10-07,26.915,27.728,26.501,26.546,7540796.0
2024-10-08,26.547,27.171,26.01,26.335,6005179.0
2024-10-09,26.335,26.68,25.66,25.758,6023721.0
2024-10-10,25.759,26.354,25.05,25.842,6496336.0
2024-10-11,25.842,27.589,25.735,27.451,5530718.0
2024-10-12,27.451,29.364,27.389,28.624,7630787.0
2024-10-13,28.624,29.349,28.269,29.048,6238945.0
2024-10-14,29.049,29.858,28.637,29.047,8152277.0
2024-10-15,29.047,29.615,27.506,28.195,12121148.0
2024-10-16,28.193,28.207,27.236,28.007,6843127.0
2024-10-17,28.007,28.257,26.786,27.286,6326061.0
2024-10-18,27.286,28.148,27.083,28.077,4448273.0
2024-10-19,28.077,28.446,27.701,28.089,2956243.0
2024-10-20,28.088,29.0,27.744,28.97,4025631.0
2024-10-21,28.968,29.333,27.363,27.738,6576262.0
2024-10-22,27.737,28.217,27.191,27.629,5661225.0
2024-10-23,27.63,27.69,25.86,26.733,7181976.0
2024-10-24,26.736,27.233,26.366,26.819,4694882.0
2024-10-25,26.818,26.871,23.901,24.907,8786848.0
